id,fA,fB,fC,fD
100001,0.6624171530006108,0.6165168864436218,0.686830179311396,0.6319904446273619
100002,0.15793337228106652,0.32449030291216185,0.33592743694340693,0.19258214307643645
100003,0.32585875244138035,0.4489667880922606,0.2666297420538309,0.34290383686892045
100004,0.530728918027325,0.2868445806200821,0.40665436987055087,0.5300662208430821
100005,0.9452314803263654,0.9158060899503615,0.7763171897233528,0.7617683193915807
100006,0.4969794154341978,0.48255702318856675,0.5725776558755653,0.4801075183607277
100007,0.4344328990140493,0.23662397193656426,0.31595035794987253,0.2710199340191095
100008,0.30891011475755153,0.46878929595447566,0.21492936704440252,0.4028144676314657
100009,0.3110738639333879,0.23077815950851108,0.18925572741483604,0.3229470524195401
100010,0.38411854995086653,0.4427124134083012,0.4380695116616096,0.4899391511799897
100011,0.6255569480497987,0.6442096360397963,0.6413476387748648,0.6765526684028593
100012,0.46260832037581623,0.5670602437727715,0.6039433745546909,0.5511330194377025
100013,0.4210655881350215,0.42959399182967445,0.1596445045865826,0.30619147159840887
100014,0.5816366712066662,0.7224118978619067,0.627412282841493,0.8082351475037972
100015,0.2897765929896008,0.38119937619974686,0.2300790872320911,0.21043882883155707
100016,0.21525929673420355,0.39715664890166064,0.2557706568728244,0.16930505168152452
100017,0.5358884158207565,0.4042960927054403,0.5332954297062737,0.5734992284224081
100018,0.4745523725600832,,0.4502178813199581,-0.12457437140686181
100019,0.520807807929249,0.5161803344347585,0.7163045318165202,0.6708640142789528
100020,0.3776407912289794,0.251784336209357,0.25804146977834364,0.3047467814439435
100021,0.33854744667821013,0.340350340682598,0.4962132037706346,0.6151017889368734
100022,0.11065603615491641,0.4110348352971021,0.5164012976578756,0.1917694722346738
100023,0.17710999111133327,0.48251131444803685,0.4443224539694292,0.5256243136179555
100024,0.4470413980234703,0.48699638026283076,0.3195143058326191,0.5347543560895965
100025,0.4606705332461073,0.48408001569680087,0.47981604016872365,0.5244952069577012
100026,0.5390360507457632,0.6803096189481206,0.6993341279063389,0.7028181863747369
100027,0.31881052523303227,0.3935655668146262,0.4185489722357891,0.4153961039035989
100028,0.30639114365757186,0.34200444185681145,0.23656108272173618,0.18229285572815626
100029,0.5694892099620887,0.7281477799898431,0.6214191287368901,0.7461355689119021
100030,0.4515478520754893,0.4364731179062785,0.38059029148389073,0.3056731882609255
100031,0.682708535793357,0.6349171296843235,0.7510682752075432,0.7188225174753913
100032,0.2714942878207791,0.2198606333947863,0.41394895528857767,0.3813040311633789
100033,0.537692421912472,0.5530124910314832,0.7929629189273582,0.6776757773424519
100034,0.6001377078749943,0.48452081455986207,0.5487322431226731,0.4478752825908269
100035,0.2459746800007803,0.3218122985618049,0.414679456622746,0.31343970579560093
100036,0.3898601659466481,0.2518363275082256,0.2567299789435637,
100037,0.19862547512714346,0.19464783770917965,0.3755944535395845,0.47521735542701254
100038,0.1933599768058774,0.2020733403310386,0.28571036805690997,0.2094121944841913
100039,0.5503375978531626,0.5876814445518911,0.36159493630903455,0.49019671397463244
100040,0.7640665676230661,0.6661435092606097,0.7646453605331907,0.6387686461256978
100041,0.23976405732087244,0.26515449435173316,0.31207648909761376,0.3506562352850299
100042,,,0.05395084426533201,-0.030171896009127414
100043,0.42614945727352216,0.4868642904162283,0.5675726867392894,0.6274467088336818
100044,0.5735674979652022,0.8238886486726861,0.8450306193077791,0.8388701197566559
100045,0.5776509044849925,0.5967154698529872,0.446648848088022,0.42448400334446135
100046,0.5176074153798764,0.5049434738852853,0.6077274237354346,0.518986626290863
100047,0.7778757313542006,0.691551603180744,0.527651831572087,0.8210985866214634
100048,0.6986577201118205,0.7000827143883865,0.6809594994271045,0.6488301053382147
100049,0.5941262393065941,0.5941262393065941,0.5941262393065941,0.5941262393065941
100050,0.357543614645103,0.3332631533181788,0.3947281813045458,0.3680482564584822
100051,0.7614743115789353,0.7577942259928673,0.6348760435638572,0.7617923674489039
100052,0.30811265931483994,0.23818974074780444,0.4695548923397432,0.4001422531652243
100053,0.4372751029563361,0.7187986712643775,0.5635613703886186,0.5034731247061613
100054,0.09011594534341137,0.26227921530913223,0.14498283066121304,0.21699048584411137
100055,0.673631551447797,0.6720345401654916,0.6245294125869351,0.6121153050232412
100056,0.6277997468788792,0.5236593876440775,0.6540351367392137,0.6739218310203842
100057,0.8025274882657758,0.8108607030347248,0.7835339669025086,0.7791843867785035
100058,0.5673720926545704,0.5496187458058006,0.45492507170472196,0.5009468979044496
100059,0.6495922324246372,0.6695006973345151,0.644824998909621,0.7890395091585116
100060,0.40450950583962314,0.12055428189393361,0.5453233664071606,0.40590353750016517
100061,0.4327824306585567,0.4150648205755983,0.5438090154764257,0.23928909947896018
100062,0.4946380565137379,0.456060778140185,0.6817286168738325,0.5016224054039996
100063,0.5748851027791787,0.6204955235101679,0.7176597567940718,0.4732172169303891
100064,0.3515903461661755,0.536509162075061,0.5023802875104517,0.6110669533392041
100065,0.5038885263328922,0.4989405077643355,0.31434279496901635,0.49550586552031006
